player_id,first_name,last_name,flag_code,birth_year,birth_month,birth_day,turned_pro,weight_kg,height_cm,handedness,backhand
r270,R.,Reid,,,,,,,,,
r271,Ramayah,Ramachandran,MAS,1970,9,10,,56,160,,
r272,Andrei,Rybalko,UKR,1972,6,5,,78,180,,
r280,Lionel,Roux,FRA,1973,4,12,1991,79,185,,
r273,Joern,Renzenbrink,GER,1972,7,17,1991,82,196,,
r284,Alex,Radulescu,GER,1974,12,7,1992,78,185,,
r285,Lars,Rehmann,GER,1975,5,21,1993,88,196,,
r286,Marcelo,Rios,CHI,1975,12,26,1994,73,175,Left-Handed,Two-Handed Backhand
r294,Eduardo,Rincon,COL,1976,3,22,,,,,
r311,Kresimir,Ritz,CRO,1973,6,28,,,,,
r312,Mikael,Robertson,RSA,,,,,,,,
r317,John,Roddick,USA,1976,7,4,,,,,
r330,Mohamed,Ridaoui,USA,1969,4,13,,,,,
r336,Christophe,Rochus,BEL,1978,12,15,1996,68,170,Right-Handed,One-Handed Backhand
r348,Andrian,Raturandang,INA,1976,7,29,,,,,
r338,Jocelyn,Robichaud,CAN,1978,4,8,,,,,
r350,Steven,Randjelovic,AUS,1975,4,21,1995,80,,,
r361,Yohny,Romero,VEN,1978,11,30,,,,,
r357,Larbi,Rharnit,MAR,1976,4,18,,,,,
r364,Bjorn,Rehnquist,SWE,1978,1,5,1997,69,175,,
r365,Nikos,Rovas,GRE,1977,9,20,,,,,
r367,Rodolfo,Rake,PER,1979,7,13,,,,,
r368,Michael,Russell,USA,1978,5,1,1998,70,173,Right-Handed,Two-Handed Backhand
r373,Victor,Romero,MEX,1979,1,26,,,,,
r383,Ruben,Ramirez Hidalgo,ESP,1978,1,6,1998,74,183,Right-Handed,Two-Handed Backhand
r388,Sergio,Roitman,ARG,1979,5,16,1996,79,185,,
r399,Andy,Ram,ISR,1980,4,10,1998,83,180,,
r397,Olivier,Rochus,BEL,1981,1,18,1999,65,168,Right-Handed,One-Handed Backhand
r408,Thierry,Roggi,FRA,1980,1,5,,,,,
r400,Tertius,Reynders,RSA,,,,,,,,
r419,Tommy,Robredo,ESP,1982,5,1,1998,75,180,Right-Handed,One-Handed Backhand
r421,Mario,Radic,CRO,1982,1,14,2000,72,188,,
r457,Pedro,Rico,ESP,1980,12,9,,,,,
r478,Gary,Rose,,1945,8,3,,,,,
r483,Bobby,Reynolds,USA,1982,7,17,2003,77,183,Right-Handed,Two-Handed Backhand
r508,James,Rombeau,USA,1948,12,2,,,,,
r485,Andy,Roddick,USA,1982,8,30,2000,88,188,Right-Handed,Two-Handed Backhand
r511,Predrag,Rusevski,MKD,1983,8,27,,,,,
r512,Fabian,Roetschi,SUI,1980,5,25,,,,,
r513,Jean-Julien,Rojer,NED,1981,8,25,2003,82,185,Right-Handed,Two-Handed Backhand
r517,Pierre,Rinderknecht,FRA,,,,,,,,
r518,Sanchai,Ratiwatana,THA,1982,1,23,2004,70,175,,
r519,Sonchat,Ratiwatana,THA,1982,1,23,2004,71,175,,
r522,Doug,Reid,AUS,,,,1968,,,,
r523,Estaban,Reyes,MEX,,,,,,,,
r532,Michael,Rubin,USA,1981,9,2,,,,,
r542,Rylan,Rizza,USA,1984,4,24,,,,,
r583,Todd,Reid,AUS,1984,6,3,2002,70,180,,
r548,Rajeev,Ram,USA,1984,3,18,2004,82,193,Right-Handed,One-Handed Backhand
r581,Antonio,Ruiz-Rosales,MEX,1984,9,18,,100,193,Right-Handed,Two-Handed Backhand
r589,Horst,Ritter,GER,,,,,,,,
r588,Nicolas,Renavand,FRA,1982,6,25,,,,,
r595,Jost,Remmert,GER,,,,,,,,
r590,Whitney,Reed,USA,1932,8,21,,,,,
r596,Luis,Rojas,CRC,,,,,,,,
r598,Robin,Ray,USA,,,,,,,,
r601,Max,Raditschnigg,AUT,1983,5,6,,,,,
r607,Bruno,Rosa,BRA,1986,2,14,,,,,
r613,Edouard,Roger-Vasselin,FRA,1983,11,28,2002,75,188,Right-Handed,Two-Handed Backhand
r612,Stephane,Robert,FRA,1980,5,17,2001,77,185,Right-Handed,Two-Handed Backhand
r615,Simon,Rea,NZL,1982,7,18,,,,,
r616,Travis,Rettenmaier,USA,1983,8,6,2002,84,188,,
r617,Vic,Rollins,CAN,,,,,,,,
r628,Laurent,Recouderc,AND,1984,7,10,,,,,
r632,Michael,Ryderstedt,SWE,1984,11,12,2002,78,188,,
r630,Diogo,Rocha,POR,1984,6,14,,,,,
r640,Hector,Ruiz-Cadenas,ESP,1983,4,27,,,,,
r644,Alexandre,Renard,FRA,1982,5,29,,,,,
r646,Tom,Rushby,GBR,1986,6,4,,,,,
r649,Joseph,Rush,USA,,,,,,,,
r668,Paul,Rose,USA,,,,,,,,
r704,Karan,Rastogi,HKG,1986,10,8,2003,66,178,Right-Handed,Two-Handed Backhand
r685,Lukas,Rosol,CZE,1985,7,24,2004,84,196,Right-Handed,Two-Handed Backhand
r709,Bruno,Rodriguez,MEX,1986,10,28,,,,,
r725,Leo,Rolle,,,,,,,,,
r717,Hector,Romani,,,,,,,,,
r726,Larry,Rolle,,,,,,,,,
r727,Kenneth,Reid,IRL,,,,,,,,
r736,Miguel Angel,Reyes-Varela,MEX,1987,6,21,,73,175,Right-Handed,One-Handed Backhand
r748,Felipe,Rojas,COL,1994,11,26,,67,,Right-Handed,Two-Handed Backhand
r750,Pere,Riba,ESP,1988,4,7,2004,78,183,Right-Handed,Two-Handed Backhand
r753,Lamar,Roemer,,,,,,,,,
